ibin	Eff	Err
0	0.9631	0.0000	
1	0.9882	0.0000	
2	0.9645	0.0000	
3	0.9565	0.0000	
4	0.9654	0.0000	
5	0.9899	0.0000	
6	0.9665	0.0000	
7	0.9619	0.0000	
8	0.9655	0.0000	
9	0.9910	0.0000	
10	0.9676	0.0000	
11	0.9638	0.0000	
12	0.9666	0.0000	
13	0.9911	0.0000	
14	0.9681	0.0000	
15	0.9662	0.0000	
16	0.9659	0.0000	
17	0.9910	0.0000	
18	0.9689	0.0000	
19	0.9661	0.0000	
20	0.9648	0.0000	
21	0.9910	0.0000	
22	0.9695	0.0000	
23	0.9660	0.0000	
24	0.9638	0.0000	
25	0.9910	0.0000	
26	0.9702	0.0000	
27	0.9656	0.0000	
28	0.9600	0.0000	
29	0.9893	0.0000	
30	0.9712	0.0000	
31	0.9683	0.0000	
