# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of third jet
XLabel=$p_\perp(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~3})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
DrawOnly=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3 //u/user/choij/tmp_0x7f9118e7a1c0/MG299.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3
LegendOnly=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3 //u/user/choij/tmp_0x7f9118e7a1c0/MG299.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3[isr_x2xg_murfac=2.0]
ScaledBy=9.90718721677323265e-07
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.166798e+01	1.361417e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.361417e+01	1.588498e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588498e+01	1.853456e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.853456e+01	2.162608e+01	1.092590e+00	1.904426e-01	1.904426e-01
2.162608e+01	2.523326e+01	1.943759e+00	2.116075e-01	2.116075e-01
2.523326e+01	2.944211e+01	1.263691e+00	1.551913e-01	1.551913e-01
2.944211e+01	3.435298e+01	7.251059e-01	1.106189e-01	1.106189e-01
3.435298e+01	4.008298e+01	4.837113e-01	7.672967e-02	7.672967e-02
4.008298e+01	4.676873e+01	4.123953e-01	5.402864e-02	5.402864e-02
4.676873e+01	5.456964e+01	1.759790e-01	3.645725e-02	3.645725e-02
5.456964e+01	6.367173e+01	6.961857e-02	2.475098e-02	2.475098e-02
6.367173e+01	7.429203e+01	3.259850e-02	1.416935e-02	1.416935e-02
7.429203e+01	8.668377e+01	3.239044e-02	1.243864e-02	1.243864e-02
8.668377e+01	1.011424e+02	1.044111e-02	7.680415e-03	7.680415e-03
1.011424e+02	1.180127e+02	5.967523e-03	4.209800e-03	4.209800e-03
1.180127e+02	1.376970e+02	1.249982e-03	2.867235e-03	2.867235e-03
1.376970e+02	1.606645e+02	1.210118e-03	2.407731e-03	2.407731e-03
1.606645e+02	1.874630e+02	4.695110e-03	2.099752e-03	2.099752e-03
1.874630e+02	2.187314e+02	1.601679e-03	1.132558e-03	1.132558e-03
2.187314e+02	2.552153e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.552153e+02	2.977846e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.977846e+02	3.474544e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.474544e+02	4.054090e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.054090e+02	4.730302e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.730302e+02	5.519306e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.519306e+02	6.439913e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.439913e+02	7.514076e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.514076e+02	8.767406e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.767406e+02	1.022979e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.022979e+03	1.193609e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.193609e+03	1.392701e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.392701e+03	1.625000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3[isr_x2xg_murfac=0.5]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3[isr_x2xg_murfac=0.5]
ScaledBy=9.90722131937632883e-07
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.166798e+01	1.361417e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.361417e+01	1.588498e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588498e+01	1.853456e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.853456e+01	2.162608e+01	1.109923e+00	1.906223e-01	1.906223e-01
2.162608e+01	2.523326e+01	1.949679e+00	2.118135e-01	2.118135e-01
2.523326e+01	2.944211e+01	1.267187e+00	1.552956e-01	1.552956e-01
2.944211e+01	3.435298e+01	7.158296e-01	1.107318e-01	1.107318e-01
3.435298e+01	4.008298e+01	4.859337e-01	7.671361e-02	7.671361e-02
4.008298e+01	4.676873e+01	4.140198e-01	5.409702e-02	5.409702e-02
4.676873e+01	5.456964e+01	1.761761e-01	3.639653e-02	3.639653e-02
5.456964e+01	6.367173e+01	7.111225e-02	2.486223e-02	2.486223e-02
6.367173e+01	7.429203e+01	3.316101e-02	1.414816e-02	1.414816e-02
7.429203e+01	8.668377e+01	3.245189e-02	1.244088e-02	1.244088e-02
8.668377e+01	1.011424e+02	1.037880e-02	7.744228e-03	7.744228e-03
1.011424e+02	1.180127e+02	5.828950e-03	4.160798e-03	4.160798e-03
1.180127e+02	1.376970e+02	1.271021e-03	2.842094e-03	2.842094e-03
1.376970e+02	1.606645e+02	1.090429e-03	2.436538e-03	2.436538e-03
1.606645e+02	1.874630e+02	4.668582e-03	2.087853e-03	2.087853e-03
1.874630e+02	2.187314e+02	1.600286e-03	1.131573e-03	1.131573e-03
2.187314e+02	2.552153e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.552153e+02	2.977846e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.977846e+02	3.474544e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.474544e+02	4.054090e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.054090e+02	4.730302e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.730302e+02	5.519306e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.519306e+02	6.439913e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.439913e+02	7.514076e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.514076e+02	8.767406e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.767406e+02	1.022979e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.022979e+03	1.193609e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.193609e+03	1.392701e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.392701e+03	1.625000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3[isr_x2xg_cns=_2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3[isr_x2xg_cns=_2.0]
ScaledBy=9.90723800633049595e-07
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.166798e+01	1.361417e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.361417e+01	1.588498e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588498e+01	1.853456e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.853456e+01	2.162608e+01	1.108014e+00	1.906455e-01	1.906455e-01
2.162608e+01	2.523326e+01	1.949024e+00	2.118589e-01	2.118589e-01
2.523326e+01	2.944211e+01	1.272661e+00	1.554864e-01	1.554864e-01
2.944211e+01	3.435298e+01	7.185161e-01	1.108090e-01	1.108090e-01
3.435298e+01	4.008298e+01	4.846185e-01	7.675142e-02	7.675142e-02
4.008298e+01	4.676873e+01	4.154090e-01	5.410153e-02	5.410153e-02
4.676873e+01	5.456964e+01	1.763874e-01	3.642611e-02	3.642611e-02
5.456964e+01	6.367173e+01	7.153221e-02	2.489797e-02	2.489797e-02
6.367173e+01	7.429203e+01	3.297907e-02	1.413430e-02	1.413430e-02
7.429203e+01	8.668377e+01	3.230025e-02	1.244543e-02	1.244543e-02
8.668377e+01	1.011424e+02	1.038369e-02	7.738238e-03	7.738238e-03
1.011424e+02	1.180127e+02	5.932040e-03	4.194601e-03	4.194601e-03
1.180127e+02	1.376970e+02	1.271025e-03	2.842097e-03	2.842097e-03
1.376970e+02	1.606645e+02	1.089297e-03	2.435803e-03	2.435803e-03
1.606645e+02	1.874630e+02	4.668026e-03	2.087604e-03	2.087604e-03
1.874630e+02	2.187314e+02	1.600289e-03	1.131575e-03	1.131575e-03
2.187314e+02	2.552153e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.552153e+02	2.977846e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.977846e+02	3.474544e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.474544e+02	4.054090e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.054090e+02	4.730302e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.730302e+02	5.519306e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.519306e+02	6.439913e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.439913e+02	7.514076e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.514076e+02	8.767406e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.767406e+02	1.022979e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.022979e+03	1.193609e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.193609e+03	1.392701e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.392701e+03	1.625000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3[isr_x2xg_cns=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f9118e7a1c0/MG273.yoda.gz/MC_ZJETS:ENERGY=13000/jet_pT_3[isr_x2xg_cns=2.0]
ScaledBy=9.90695345314582583e-07
Title=MG273
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
