ibin	Eff	Err
0	0.9234	0.0008	
1	0.9285	0.0013	
2	0.9246	0.0007	
3	0.8982	0.0016	
4	0.9261	0.0005	
5	0.9312	0.0009	
6	0.9301	0.0005	
7	0.9150	0.0011	
8	0.9276	0.0003	
9	0.9359	0.0006	
10	0.9334	0.0004	
11	0.9215	0.0008	
12	0.9281	0.0002	
13	0.9369	0.0004	
14	0.9338	0.0003	
15	0.9220	0.0006	
16	0.9275	0.0001	
17	0.9377	0.0002	
18	0.9352	0.0001	
19	0.9248	0.0003	
20	0.9260	0.0001	
21	0.9376	0.0002	
22	0.9386	0.0001	
23	0.9260	0.0003	
24	0.9225	0.0002	
25	0.9359	0.0003	
26	0.9411	0.0002	
27	0.9241	0.0004	
28	0.9121	0.0011	
29	0.9248	0.0016	
30	0.9410	0.0010	
31	0.9158	0.0032	
