# BEGIN PLOT
Legend=1
LogY=0
LegendYPos=0.4
XLabel=$p_\perp(\mu\mu)$ [GeV]
YLabel=$\langle\mathrm{d}^2 N_\mathrm{chg}/\mathrm{d}\eta\mathrm{d}\phi\rangle$
Title=$CMS, 13 TeV, pp \rightarrow Z + X \rightarrow \mu^{+}\mu^{-} + X, Transverse$
DrawOnly=/CMS_2017_I1635889/d02-x01-y01 //u/user/choij/tmp_0x7fc656bc21c0/incl.yoda.gz/CMS_2017_I1635889/d02-x01-y01 //u/user/choij/tmp_0x7fc656bc21c0/ZpT0To50.yoda.gz/CMS_2017_I1635889/d02-x01-y01 //u/user/choij/tmp_0x7fc656bc21c0/ZpT0To100.yoda.gz/CMS_2017_I1635889/d02-x01-y01 //u/user/choij/tmp_0x7fc656bc21c0/ZpT0To250.yoda.gz/CMS_2017_I1635889/d02-x01-y01
LegendOnly=/CMS_2017_I1635889/d02-x01-y01 //u/user/choij/tmp_0x7fc656bc21c0/incl.yoda.gz/CMS_2017_I1635889/d02-x01-y01 //u/user/choij/tmp_0x7fc656bc21c0/ZpT0To50.yoda.gz/CMS_2017_I1635889/d02-x01-y01 //u/user/choij/tmp_0x7fc656bc21c0/ZpT0To100.yoda.gz/CMS_2017_I1635889/d02-x01-y01 //u/user/choij/tmp_0x7fc656bc21c0/ZpT0To250.yoda.gz/CMS_2017_I1635889/d02-x01-y01
RatioPlot=1
RatioPlotReference=/CMS_2017_I1635889/d02-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2017_I1635889/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2017_I1635889/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	9.150000e-01	5.079620e-02	5.079620e-02
5.000000e+00	1.000000e+01	9.770000e-01	5.346710e-02	5.346710e-02
1.000000e+01	1.500000e+01	1.030000e+00	5.781890e-02	5.781890e-02
1.500000e+01	2.000000e+01	1.070000e+00	5.940100e-02	5.940100e-02
2.000000e+01	2.500000e+01	1.100000e+00	6.447450e-02	6.447450e-02
2.500000e+01	3.000000e+01	1.110000e+00	6.403690e-02	6.403690e-02
3.000000e+01	3.500000e+01	1.140000e+00	6.676430e-02	6.676430e-02
3.500000e+01	4.000000e+01	1.170000e+00	7.196250e-02	7.196250e-02
4.000000e+01	4.500000e+01	1.170000e+00	6.894450e-02	6.894450e-02
4.500000e+01	5.000000e+01	1.190000e+00	7.514340e-02	7.514340e-02
5.000000e+01	5.500000e+01	1.220000e+00	7.159940e-02	7.159940e-02
5.500000e+01	6.000000e+01	1.210000e+00	7.224140e-02	7.224140e-02
6.000000e+01	6.500000e+01	1.230000e+00	7.512150e-02	7.512150e-02
6.500000e+01	7.000000e+01	1.240000e+00	7.504440e-02	7.504440e-02
7.000000e+01	8.000000e+01	1.250000e+00	7.824500e-02	7.824500e-02
8.000000e+01	9.000000e+01	1.270000e+00	7.105290e-02	7.105290e-02
9.000000e+01	1.000000e+02	1.270000e+00	7.036800e-02	7.036800e-02
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7fc656bc21c0/incl.yoda.gz/CMS_2017_I1635889/d02-x01-y01[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fc656bc21c0/incl.yoda.gz/CMS_2017_I1635889/d02-x01-y01[isr_x2xg_murfac=2.0]
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
