# BEGIN PLOT
Legend=1
LogY=1
Title=Photon $p_\perp$
XLabel=$p_\perp^\gamma$ [GeV]
DrawOnly=//u/user/choij/tmp_0x7fb5067a71c0/incl.yoda.gz/MC_PHOTONS:ENERGY=13000/Ptgamma //u/user/choij/tmp_0x7fb5067a71c0/ZpTStack.yoda.gz/MC_PHOTONS:ENERGY=13000/Ptgamma
LegendOnly=//u/user/choij/tmp_0x7fb5067a71c0/incl.yoda.gz/MC_PHOTONS:ENERGY=13000/Ptgamma //u/user/choij/tmp_0x7fb5067a71c0/ZpTStack.yoda.gz/MC_PHOTONS:ENERGY=13000/Ptgamma
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7fb5067a71c0/incl.yoda.gz/MC_PHOTONS:ENERGY=13000/Ptgamma
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7fb5067a71c0/incl.yoda.gz/MC_PHOTONS:ENERGY=13000/Ptgamma[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7fb5067a71c0/incl.yoda.gz/MC_PHOTONS:ENERGY=13000/Ptgamma[isr_x2xg_murfac=2.0]
ScaledBy=9.93794903628925510e-13
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	1.173660e-02	2.110876e+00	6.801242e-03	6.801242e-03
1.173660e-02	1.377479e-02	2.365467e+00	6.633536e-03	6.633536e-03
1.377479e-02	1.616692e-02	2.611217e+00	6.428163e-03	6.428163e-03
1.616692e-02	1.897447e-02	2.828355e+00	6.181072e-03	6.181072e-03
1.897447e-02	2.226959e-02	3.038078e+00	5.902629e-03	5.902629e-03
2.226959e-02	2.613693e-02	3.221811e+00	5.609490e-03	5.609490e-03
2.613693e-02	3.067588e-02	3.367733e+00	5.296426e-03	5.296426e-03
3.067588e-02	3.600306e-02	3.465060e+00	4.958961e-03	4.958961e-03
3.600306e-02	4.225536e-02	3.523889e+00	4.615942e-03	4.615942e-03
4.225536e-02	4.959344e-02	3.543308e+00	4.273368e-03	4.273368e-03
4.959344e-02	5.820586e-02	3.496534e+00	3.917910e-03	3.917910e-03
5.820586e-02	6.831390e-02	3.416888e+00	3.573466e-03	3.573466e-03
6.831390e-02	8.017732e-02	3.278288e+00	3.232843e-03	3.232843e-03
8.017732e-02	9.410094e-02	3.101935e+00	2.903165e-03	2.903165e-03
9.410094e-02	1.104425e-01	2.887909e+00	2.584341e-03	2.584341e-03
1.104425e-01	1.296220e-01	2.648072e+00	2.284746e-03	2.284746e-03
1.296220e-01	1.521322e-01	2.394569e+00	2.005957e-03	2.005957e-03
1.521322e-01	1.785516e-01	2.125986e+00	1.744553e-03	1.744553e-03
1.785516e-01	2.095589e-01	1.852391e+00	1.504051e-03	1.504051e-03
2.095589e-01	2.459509e-01	1.578187e+00	1.282637e-03	1.282637e-03
2.459509e-01	2.886629e-01	1.313324e+00	1.080284e-03	1.080284e-03
2.886629e-01	3.387922e-01	1.065598e+00	8.989210e-04	8.989210e-04
3.387922e-01	3.976269e-01	8.407416e-01	7.368900e-04	7.368900e-04
3.976269e-01	4.666789e-01	6.424429e-01	5.956437e-04	5.956437e-04
4.666789e-01	5.477226e-01	4.754366e-01	4.737590e-04	4.737590e-04
