ibin	Eff	Err
0	0.9627	0.0000	
1	0.9882	0.0000	
2	0.9644	0.0000	
3	0.9564	0.0000	
4	0.9650	0.0000	
5	0.9899	0.0000	
6	0.9665	0.0000	
7	0.9616	0.0000	
8	0.9655	0.0000	
9	0.9910	0.0000	
10	0.9676	0.0000	
11	0.9633	0.0000	
12	0.9665	0.0000	
13	0.9912	0.0000	
14	0.9681	0.0000	
15	0.9659	0.0000	
16	0.9659	0.0000	
17	0.9909	0.0000	
18	0.9690	0.0000	
19	0.9656	0.0000	
20	0.9648	0.0000	
21	0.9910	0.0000	
22	0.9695	0.0000	
23	0.9660	0.0000	
24	0.9638	0.0000	
25	0.9910	0.0000	
26	0.9702	0.0000	
27	0.9656	0.0000	
28	0.9607	0.0000	
29	0.9892	0.0000	
30	0.9710	0.0000	
31	0.9654	0.0000	
