ibin	Eff	Err
0	0.9430	0.0011	
1	0.9787	0.0010	
2	0.9591	0.0008	
3	0.9508	0.0016	
4	0.9441	0.0007	
5	0.9811	0.0007	
6	0.9632	0.0006	
7	0.9552	0.0012	
8	0.9457	0.0004	
9	0.9819	0.0005	
10	0.9644	0.0004	
11	0.9597	0.0008	
12	0.9460	0.0003	
13	0.9823	0.0003	
14	0.9656	0.0003	
15	0.9607	0.0006	
16	0.9462	0.0001	
17	0.9811	0.0002	
18	0.9664	0.0001	
19	0.9614	0.0003	
20	0.9453	0.0001	
21	0.9808	0.0001	
22	0.9669	0.0001	
23	0.9609	0.0003	
24	0.9432	0.0002	
25	0.9804	0.0002	
26	0.9667	0.0002	
27	0.9603	0.0005	
28	0.9350	0.0013	
29	0.9789	0.0013	
30	0.9664	0.0014	
31	0.9571	0.0037	
