# BEGIN PLOT
Legend=1
LogY=1
Title=Z mass
XLabel=$m_{\mathrm{Z}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{\mathrm{Z}}$ [pb/GeV]
DrawOnly=//u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_ZINC:ENERGY=13000/Z_mass //u/user/choij/tmp_0x7f65480f21c0/ZpTStack.yoda.gz/MC_ZINC:ENERGY=13000/Z_mass
LegendOnly=//u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_ZINC:ENERGY=13000/Z_mass //u/user/choij/tmp_0x7f65480f21c0/ZpTStack.yoda.gz/MC_ZINC:ENERGY=13000/Z_mass
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_ZINC:ENERGY=13000/Z_mass
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_ZINC:ENERGY=13000/Z_mass[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_ZINC:ENERGY=13000/Z_mass[isr_x2xg_murfac=2.0]
ScaledBy=9.92893546258786715e-07
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
6.600000e+01	6.700000e+01	1.387638e+00	2.194417e-01	2.194417e-01
6.700000e+01	6.800000e+01	1.272914e+00	2.308543e-01	2.308543e-01
6.800000e+01	6.900000e+01	1.622865e+00	2.448175e-01	2.448175e-01
6.900000e+01	7.000000e+01	1.943375e+00	2.679187e-01	2.679187e-01
7.000000e+01	7.100000e+01	2.122416e+00	2.604973e-01	2.604973e-01
7.100000e+01	7.200000e+01	2.525501e+00	2.905603e-01	2.905603e-01
7.200000e+01	7.300000e+01	2.566277e+00	3.073724e-01	3.073724e-01
7.300000e+01	7.400000e+01	2.903637e+00	3.162923e-01	3.162923e-01
7.400000e+01	7.500000e+01	3.077071e+00	3.246895e-01	3.246895e-01
7.500000e+01	7.600000e+01	2.955965e+00	3.294289e-01	3.294289e-01
7.600000e+01	7.700000e+01	3.337329e+00	3.573139e-01	3.573139e-01
7.700000e+01	7.800000e+01	3.056089e+00	3.463856e-01	3.463856e-01
7.800000e+01	7.900000e+01	4.370350e+00	4.005602e-01	4.005602e-01
7.900000e+01	8.000000e+01	4.520133e+00	4.177158e-01	4.177158e-01
8.000000e+01	8.100000e+01	5.779807e+00	4.414765e-01	4.414765e-01
8.100000e+01	8.200000e+01	6.988772e+00	4.997523e-01	4.997523e-01
8.200000e+01	8.300000e+01	8.535996e+00	5.455239e-01	5.455239e-01
8.300000e+01	8.400000e+01	1.014073e+01	5.893579e-01	5.893579e-01
8.400000e+01	8.500000e+01	1.425752e+01	7.001473e-01	7.001473e-01
8.500000e+01	8.600000e+01	1.765174e+01	7.949726e-01	7.949726e-01
8.600000e+01	8.700000e+01	2.310242e+01	9.244028e-01	9.244028e-01
8.700000e+01	8.800000e+01	3.640480e+01	1.129789e+00	1.129789e+00
8.800000e+01	8.900000e+01	5.732345e+01	1.452693e+00	1.452693e+00
8.900000e+01	9.000000e+01	1.117421e+02	2.009348e+00	2.009348e+00
9.000000e+01	9.100000e+01	2.216134e+02	2.834148e+00	2.834148e+00
9.100000e+01	9.200000e+01	2.482061e+02	3.006394e+00	3.006394e+00
9.200000e+01	9.300000e+01	1.341053e+02	2.196788e+00	2.196788e+00
9.300000e+01	9.400000e+01	6.333830e+01	1.519808e+00	1.519808e+00
9.400000e+01	9.500000e+01	3.537126e+01	1.116324e+00	1.116324e+00
9.500000e+01	9.600000e+01	2.229925e+01	9.093743e-01	9.093743e-01
9.600000e+01	9.700000e+01	1.617627e+01	7.644096e-01	7.644096e-01
9.700000e+01	9.800000e+01	1.180575e+01	6.581900e-01	6.581900e-01
9.800000e+01	9.900000e+01	8.697478e+00	5.670041e-01	5.670041e-01
9.900000e+01	1.000000e+02	6.929104e+00	4.828223e-01	4.828223e-01
1.000000e+02	1.010000e+02	4.881908e+00	4.267629e-01	4.267629e-01
1.010000e+02	1.020000e+02	4.751794e+00	4.341936e-01	4.341936e-01
1.020000e+02	1.030000e+02	3.438967e+00	3.608753e-01	3.608753e-01
1.030000e+02	1.040000e+02	4.064705e+00	3.521221e-01	3.521221e-01
1.040000e+02	1.050000e+02	2.852262e+00	3.121092e-01	3.121092e-01
1.050000e+02	1.060000e+02	2.450521e+00	2.901123e-01	2.901123e-01
1.060000e+02	1.070000e+02	1.659179e+00	2.848690e-01	2.848690e-01
1.070000e+02	1.080000e+02	1.944119e+00	2.627504e-01	2.627504e-01
1.080000e+02	1.090000e+02	1.568411e+00	2.459024e-01	2.459024e-01
1.090000e+02	1.100000e+02	1.555220e+00	2.403695e-01	2.403695e-01
1.100000e+02	1.110000e+02	1.297507e+00	2.319000e-01	2.319000e-01
1.110000e+02	1.120000e+02	1.160148e+00	2.102417e-01	2.102417e-01
1.120000e+02	1.130000e+02	9.232681e-01	2.018090e-01	2.018090e-01
1.130000e+02	1.140000e+02	9.761684e-01	1.982993e-01	1.982993e-01
1.140000e+02	1.150000e+02	6.289179e-01	1.769997e-01	1.769997e-01
1.150000e+02	1.160000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_ZINC:ENERGY=13000/Z_mass[isr_x2xg_murfac=0.5]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_ZINC:ENERGY=13000/Z_mass[isr_x2xg_murfac=0.5]
ScaledBy=9.92889549571811558e-07
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
6.600000e+01	6.700000e+01	1.397436e+00	2.207647e-01	2.207647e-01
6.700000e+01	6.800000e+01	1.275728e+00	2.303788e-01	2.303788e-01
6.800000e+01	6.900000e+01	1.620939e+00	2.457652e-01	2.457652e-01
6.900000e+01	7.000000e+01	1.922391e+00	2.656015e-01	2.656015e-01
7.000000e+01	7.100000e+01	2.118000e+00	2.606306e-01	2.606306e-01
7.100000e+01	7.200000e+01	2.524195e+00	2.903667e-01	2.903667e-01
7.200000e+01	7.300000e+01	2.569071e+00	3.066692e-01	3.066692e-01
7.300000e+01	7.400000e+01	2.893503e+00	3.159356e-01	3.159356e-01
7.400000e+01	7.500000e+01	3.066139e+00	3.244418e-01	3.244418e-01
7.500000e+01	7.600000e+01	2.973015e+00	3.305536e-01	3.305536e-01
7.600000e+01	7.700000e+01	3.352628e+00	3.566167e-01	3.566167e-01
7.700000e+01	7.800000e+01	3.050170e+00	3.460730e-01	3.460730e-01
7.800000e+01	7.900000e+01	4.366877e+00	4.004052e-01	4.004052e-01
7.900000e+01	8.000000e+01	4.520636e+00	4.174245e-01	4.174245e-01
8.000000e+01	8.100000e+01	5.768754e+00	4.419702e-01	4.419702e-01
8.100000e+01	8.200000e+01	6.957187e+00	4.988027e-01	4.988027e-01
