ibin	Eff	Err
0	0.9431	0.0012	
1	0.9789	0.0011	
2	0.9595	0.0008	
3	0.9510	0.0017	
4	0.9437	0.0007	
5	0.9813	0.0007	
6	0.9636	0.0006	
7	0.9548	0.0012	
8	0.9457	0.0004	
9	0.9824	0.0005	
10	0.9646	0.0004	
11	0.9599	0.0009	
12	0.9460	0.0003	
13	0.9824	0.0004	
14	0.9658	0.0003	
15	0.9603	0.0006	
16	0.9464	0.0001	
17	0.9811	0.0002	
18	0.9665	0.0002	
19	0.9612	0.0003	
20	0.9453	0.0001	
21	0.9809	0.0001	
22	0.9669	0.0001	
23	0.9608	0.0003	
24	0.9431	0.0002	
25	0.9804	0.0002	
26	0.9667	0.0002	
27	0.9603	0.0005	
28	0.9353	0.0013	
29	0.9784	0.0012	
30	0.9659	0.0011	
31	0.9627	0.0037	
