# BEGIN PLOT
Legend=1
LogY=0
RatioPlotYMin=0.75
RatioPlotYMax=1.25
Title=CMS, 13 TeV, $Z \to \ell^+ \ell^-$
XMin=0.1
LogX=1
XLabel=$p_{T}^{Z}$ [GeV]
YLabel=$1/\sigma d\sigma/dp_{T}^{Z}$ [1/GeV]
DrawOnly=/CMS_2019_I1753680/d30-x01-y01 //u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/CMS_2019_I1753680/d30-x01-y01 //u/user/choij/tmp_0x7f65480f21c0/ZpTStack.yoda.gz/CMS_2019_I1753680/d30-x01-y01
LegendOnly=/CMS_2019_I1753680/d30-x01-y01 //u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/CMS_2019_I1753680/d30-x01-y01 //u/user/choij/tmp_0x7f65480f21c0/ZpTStack.yoda.gz/CMS_2019_I1753680/d30-x01-y01
RatioPlot=1
RatioPlotReference=/CMS_2019_I1753680/d30-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d30-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d30-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.949600e-02	4.139500e-04	4.139500e-04
1.000000e+00	2.000000e+00	4.786000e-02	9.168700e-04	9.168700e-04
2.000000e+00	3.000000e+00	6.734200e-02	1.140100e-03	1.140100e-03
3.000000e+00	4.000000e+00	7.608700e-02	1.227500e-03	1.227500e-03
4.000000e+00	5.000000e+00	7.746600e-02	1.259700e-03	1.259700e-03
5.000000e+00	6.000000e+00	7.473000e-02	1.212800e-03	1.212800e-03
6.000000e+00	7.000000e+00	7.046100e-02	1.135200e-03	1.135200e-03
7.000000e+00	8.000000e+00	6.579200e-02	1.054900e-03	1.054900e-03
8.000000e+00	9.000000e+00	6.109900e-02	9.692300e-04	9.692300e-04
9.000000e+00	1.000000e+01	5.657100e-02	8.791700e-04	8.791700e-04
1.000000e+01	1.100000e+01	5.202100e-02	7.996200e-04	7.996200e-04
1.100000e+01	1.200000e+01	4.779200e-02	7.375600e-04	7.375600e-04
1.200000e+01	1.300000e+01	4.440800e-02	6.904300e-04	6.904300e-04
1.300000e+01	1.400000e+01	4.116700e-02	6.326500e-04	6.326500e-04
1.400000e+01	1.600000e+01	3.624200e-02	5.348800e-04	5.348800e-04
