ibin	Eff	Err
0	0.9401	0.0012	
1	0.9784	0.0011	
2	0.9593	0.0008	
3	0.9511	0.0017	
4	0.9445	0.0007	
5	0.9816	0.0007	
6	0.9632	0.0006	
7	0.9550	0.0012	
8	0.9456	0.0004	
9	0.9825	0.0005	
10	0.9645	0.0004	
11	0.9585	0.0009	
12	0.9461	0.0003	
13	0.9822	0.0004	
14	0.9658	0.0003	
15	0.9604	0.0006	
16	0.9464	0.0001	
17	0.9811	0.0002	
18	0.9665	0.0002	
19	0.9612	0.0003	
20	0.9453	0.0001	
21	0.9808	0.0001	
22	0.9669	0.0001	
23	0.9610	0.0003	
24	0.9432	0.0002	
25	0.9805	0.0002	
26	0.9669	0.0002	
27	0.9600	0.0006	
28	0.9355	0.0013	
29	0.9789	0.0013	
30	0.9670	0.0012	
31	0.9601	0.0039	
