ibin	Eff	Err
0	0.9238	0.0008	
1	0.9279	0.0013	
2	0.9246	0.0008	
3	0.8966	0.0015	
4	0.9260	0.0005	
5	0.9324	0.0009	
6	0.9304	0.0005	
7	0.9164	0.0011	
8	0.9277	0.0003	
9	0.9358	0.0006	
10	0.9335	0.0004	
11	0.9214	0.0008	
12	0.9281	0.0002	
13	0.9369	0.0004	
14	0.9338	0.0003	
15	0.9223	0.0006	
16	0.9275	0.0001	
17	0.9375	0.0002	
18	0.9352	0.0001	
19	0.9253	0.0003	
20	0.9261	0.0001	
21	0.9376	0.0002	
22	0.9386	0.0001	
23	0.9260	0.0003	
24	0.9224	0.0002	
25	0.9359	0.0003	
26	0.9410	0.0002	
27	0.9243	0.0005	
28	0.9127	0.0010	
29	0.9236	0.0017	
30	0.9412	0.0010	
31	0.9147	0.0032	
