ibin	Eff	Err
0	0.9402	0.0012	
1	0.9791	0.0010	
2	0.9597	0.0008	
3	0.9512	0.0016	
4	0.9445	0.0007	
5	0.9813	0.0007	
6	0.9630	0.0006	
7	0.9553	0.0012	
8	0.9461	0.0004	
9	0.9818	0.0005	
10	0.9645	0.0004	
11	0.9587	0.0009	
12	0.9463	0.0003	
13	0.9821	0.0004	
14	0.9657	0.0003	
15	0.9608	0.0006	
16	0.9464	0.0001	
17	0.9813	0.0002	
18	0.9665	0.0001	
19	0.9612	0.0003	
20	0.9452	0.0001	
21	0.9809	0.0001	
22	0.9669	0.0001	
23	0.9609	0.0003	
24	0.9429	0.0002	
25	0.9805	0.0002	
26	0.9665	0.0002	
27	0.9599	0.0006	
28	0.9346	0.0013	
29	0.9792	0.0013	
30	0.9668	0.0012	
31	0.9607	0.0035	
