# BEGIN PLOT
Legend=1
LogY=1
Title=Scalar sum of jet transverse momenta ($H_\mathrm{T}$)
XLabel=$H_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}H_\mathrm{T}$ [pb/GeV]
LogX=1
DrawOnly=//u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_HT //u/user/choij/tmp_0x7f65480f21c0/ZpTStack.yoda.gz/MC_JETS:ENERGY=13000/jet_HT
LegendOnly=//u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_HT //u/user/choij/tmp_0x7f65480f21c0/ZpTStack.yoda.gz/MC_JETS:ENERGY=13000/jet_HT
RatioPlot=1
RatioPlotReference=//u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_HT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_HT[isr_x2xg_murfac=2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_HT[isr_x2xg_murfac=2.0]
ScaledBy=9.92893546258786715e-07
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.245265e+01	8.547510e+01	1.056907e+00	1.056907e+00
2.245265e+01	2.520608e+01	6.724209e+01	8.807382e-01	8.807382e-01
2.520608e+01	2.829717e+01	5.215943e+01	7.369107e-01	7.369107e-01
2.829717e+01	3.176733e+01	4.014123e+01	6.162642e-01	6.162642e-01
3.176733e+01	3.566304e+01	2.875466e+01	4.926842e-01	4.926842e-01
3.566304e+01	4.003649e+01	1.914402e+01	3.799633e-01	3.799633e-01
4.003649e+01	4.494627e+01	2.440686e+01	4.034687e-01	4.034687e-01
4.494627e+01	5.045815e+01	3.803459e+01	4.741955e-01	4.741955e-01
5.045815e+01	5.664597e+01	4.884971e+01	5.085667e-01	5.085667e-01
5.664597e+01	6.359261e+01	5.462985e+01	5.097148e-01	5.097148e-01
6.359261e+01	7.139114e+01	5.597130e+01	4.883326e-01	4.883326e-01
7.139114e+01	8.014603e+01	6.023643e+01	4.759760e-01	4.759760e-01
8.014603e+01	8.997455e+01	7.444031e+01	4.966767e-01	4.966767e-01
8.997455e+01	1.010084e+02	6.353365e+01	4.380278e-01	4.380278e-01
1.010084e+02	1.133953e+02	1.951583e+01	2.558457e-01	2.558457e-01
1.133953e+02	1.273013e+02	1.846028e+01	2.442418e-01	2.442418e-01
1.273013e+02	1.429125e+02	1.198076e+01	2.030762e-01	2.030762e-01
1.429125e+02	1.604383e+02	8.677801e+00	1.654666e-01	1.654666e-01
1.604383e+02	1.801133e+02	5.679360e+00	1.340130e-01	1.340130e-01
1.801133e+02	2.022010e+02	3.782958e+00	1.070396e-01	1.070396e-01
2.022010e+02	2.269975e+02	2.584051e+00	8.486338e-02	8.486338e-02
2.269975e+02	2.548348e+02	1.807800e+00	6.516091e-02	6.516091e-02
2.548348e+02	2.860858e+02	1.254409e+00	5.048382e-02	5.048382e-02
2.860858e+02	3.211693e+02	7.764539e-01	3.831730e-02	3.831730e-02
3.211693e+02	3.605551e+02	4.914667e-01	2.915916e-02	2.915916e-02
3.605551e+02	4.047710e+02	3.254318e-01	2.103894e-02	2.103894e-02
4.047710e+02	4.544091e+02	1.874690e-01	1.579147e-02	1.579147e-02
4.544091e+02	5.101345e+02	1.250567e-01	1.206041e-02	1.206041e-02
5.101345e+02	5.726936e+02	8.528328e-02	8.650366e-03	8.650366e-03
5.726936e+02	6.429246e+02	4.479600e-02	6.094692e-03	6.094692e-03
6.429246e+02	7.217681e+02	2.211137e-02	4.401628e-03	4.401628e-03
7.217681e+02	8.102804e+02	1.571070e-02	2.994922e-03	2.994922e-03
8.102804e+02	9.096473e+02	9.049769e-03	2.252166e-03	2.252166e-03
9.096473e+02	1.021200e+03	4.294014e-03	1.627224e-03	1.627224e-03
1.021200e+03	1.146432e+03	1.592942e-03	1.019312e-03	1.019312e-03
1.146432e+03	1.287022e+03	1.794496e-03	6.981759e-04	6.981759e-04
1.287022e+03	1.444853e+03	1.102052e-03	4.767086e-04	4.767086e-04
1.444853e+03	1.622039e+03	4.216664e-04	4.248981e-04	4.248981e-04
1.622039e+03	1.820954e+03	1.349165e-06	1.794279e-04	1.794279e-04
1.820954e+03	2.044263e+03	-1.118262e-04	1.118262e-04	1.118262e-04
2.044263e+03	2.294956e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.294956e+03	2.576392e+03	8.960996e-05	8.960994e-05	8.960994e-05
2.576392e+03	2.892342e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.892342e+03	3.247038e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.247038e+03	3.645231e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.645231e+03	4.092255e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.092255e+03	4.594099e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.594099e+03	5.157486e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.157486e+03	5.789962e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.789962e+03	6.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_HT[isr_x2xg_murfac=0.5]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_HT[isr_x2xg_murfac=0.5]
ScaledBy=9.92889549571811558e-07
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.245265e+01	8.545161e+01	1.056423e+00	1.056423e+00
2.245265e+01	2.520608e+01	6.725099e+01	8.801514e-01	8.801514e-01
2.520608e+01	2.829717e+01	5.215147e+01	7.364093e-01	7.364093e-01
2.829717e+01	3.176733e+01	4.012933e+01	6.158860e-01	6.158860e-01
3.176733e+01	3.566304e+01	2.871990e+01	4.922221e-01	4.922221e-01
3.566304e+01	4.003649e+01	1.913718e+01	3.794500e-01	3.794500e-01
4.003649e+01	4.494627e+01	2.437773e+01	4.028432e-01	4.028432e-01
4.494627e+01	5.045815e+01	3.803760e+01	4.740010e-01	4.740010e-01
5.045815e+01	5.664597e+01	4.881351e+01	5.081191e-01	5.081191e-01
5.664597e+01	6.359261e+01	5.460345e+01	5.094075e-01	5.094075e-01
6.359261e+01	7.139114e+01	5.598424e+01	4.882264e-01	4.882264e-01
7.139114e+01	8.014603e+01	6.020475e+01	4.756368e-01	4.756368e-01
8.014603e+01	8.997455e+01	7.443152e+01	4.964171e-01	4.964171e-01
8.997455e+01	1.010084e+02	6.349759e+01	4.376583e-01	4.376583e-01
1.010084e+02	1.133953e+02	1.952409e+01	2.556373e-01	2.556373e-01
1.133953e+02	1.273013e+02	1.844886e+01	2.439918e-01	2.439918e-01
1.273013e+02	1.429125e+02	1.197615e+01	2.028982e-01	2.028982e-01
1.429125e+02	1.604383e+02	8.676300e+00	1.653181e-01	1.653181e-01
1.604383e+02	1.801133e+02	5.680925e+00	1.338830e-01	1.338830e-01
1.801133e+02	2.022010e+02	3.788788e+00	1.069586e-01	1.069586e-01
2.022010e+02	2.269975e+02	2.583080e+00	8.476400e-02	8.476400e-02
2.269975e+02	2.548348e+02	1.806639e+00	6.510264e-02	6.510264e-02
2.548348e+02	2.860858e+02	1.254840e+00	5.045107e-02	5.045107e-02
2.860858e+02	3.211693e+02	7.751131e-01	3.829797e-02	3.829797e-02
3.211693e+02	3.605551e+02	4.914840e-01	2.913684e-02	2.913684e-02
3.605551e+02	4.047710e+02	3.246726e-01	2.101641e-02	2.101641e-02
4.047710e+02	4.544091e+02	1.876693e-01	1.577419e-02	1.577419e-02
4.544091e+02	5.101345e+02	1.248836e-01	1.204581e-02	1.204581e-02
5.101345e+02	5.726936e+02	8.533152e-02	8.649637e-03	8.649637e-03
5.726936e+02	6.429246e+02	4.459555e-02	6.082487e-03	6.082487e-03
6.429246e+02	7.217681e+02	2.212265e-02	4.385577e-03	4.385577e-03
7.217681e+02	8.102804e+02	1.580498e-02	3.014404e-03	3.014404e-03
8.102804e+02	9.096473e+02	9.090752e-03	2.253134e-03	2.253134e-03
9.096473e+02	1.021200e+03	4.230852e-03	1.629069e-03	1.629069e-03
1.021200e+03	1.146432e+03	1.595548e-03	1.017106e-03	1.017106e-03
1.146432e+03	1.287022e+03	1.747741e-03	7.039507e-04	7.039507e-04
1.287022e+03	1.444853e+03	1.107744e-03	4.747267e-04	4.747267e-04
1.444853e+03	1.622039e+03	4.227668e-04	4.228641e-04	4.228641e-04
1.622039e+03	1.820954e+03	0.000000e+00	-nan	-nan
1.820954e+03	2.044263e+03	-1.118258e-04	1.118258e-04	1.118258e-04
2.044263e+03	2.294956e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.294956e+03	2.576392e+03	8.872959e-05	8.872958e-05	8.872958e-05
2.576392e+03	2.892342e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.892342e+03	3.247038e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.247038e+03	3.645231e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.645231e+03	4.092255e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.092255e+03	4.594099e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.594099e+03	5.157486e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.157486e+03	5.789962e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.789962e+03	6.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_HT[isr_x2xg_cns=_2.0]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//u/user/choij/tmp_0x7f65480f21c0/incl.yoda.gz/MC_JETS:ENERGY=13000/jet_HT[isr_x2xg_cns=_2.0]
ScaledBy=9.92892427482732767e-07
Title=incl
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.245265e+01	8.546833e+01	1.056486e+00	1.056486e+00
2.245265e+01	2.520608e+01	6.723788e+01	8.800025e-01	8.800025e-01
2.520608e+01	2.829717e+01	5.215422e+01	7.363983e-01	7.363983e-01
2.829717e+01	3.176733e+01	4.013432e+01	6.158963e-01	6.158963e-01
